experimento,tamano,procesos,T_Total,T_1,speedup,eficiencia_pct,ganancia_vs_24
matrices,512,1,0.018844,0.018844,1.0,100.0,0.38144767565272764
matrices,512,24,0.007188,0.018844,2.6215915414579856,10.923298089408272,1.0
matrices,512,48,1.557343,0.018844,0.012100096125259497,0.02520853359429062,0.004615553542154811
matrices,512,72,2.159039,0.018844,0.008727957206886953,0.012122162787342992,0.0033292589897635015
matrices,512,96,4.299395,0.018844,0.0043829422511772005,0.004565564844976251,0.001671863134231677
matrices,1024,1,0.15024,0.15024,1.0,100.0,0.23168929712460062
matrices,1024,24,0.034809,0.15024,4.316125140049987,17.98385475020828,1.0
matrices,1024,48,5.63613,0.15024,0.02665658882956923,0.05553456006160257,0.006176046329662375
matrices,1024,72,9.071514,0.15024,0.016561733796585664,0.023002408050813425,0.0038371764624956757
matrices,1024,96,13.648012,0.15024,0.011008196651644212,0.01146687151212939,0.0025504813448288294
matrices,2048,1,1.223764,1.223764,1.0,100.0,0.17562945143017772
matrices,2048,24,0.214929,1.223764,5.6938058614705325,23.72419108946055,1.0
matrices,2048,48,21.343125,1.223764,0.05733762042812381,0.11945337589192462,0.010070174822103137
matrices,2048,72,32.642679,1.223764,0.03748969255862854,0.05206901744253964,0.006584294138357946
matrices,2048,96,47.759433,1.223764,0.025623503528611823,0.02669114950897065,0.004500241868449318
matrices,3072,1,3.875501,3.875501,1.0,100.0,0.14262749512901687
matrices,3072,24,0.552753,3.875501,7.011270856965045,29.21362857068769,1.0
matrices,3072,48,41.795233,3.875501,0.09272590967491436,0.1931789784894049,0.013225264230492506
matrices,3072,72,67.120577,3.875501,0.0577393874310705,0.08019359365426458,0.008235224199577427
matrices,3072,96,99.944942,3.875501,0.03877635948800691,0.04039204113334053,0.005530575023996713
matrices,4096,1,9.57656,9.57656,1.0,100.0,0.1472378390570309
matrices,4096,24,1.410032,9.57656,6.791732386215349,28.298884942563955,1.0
matrices,4096,48,73.451014,9.57656,0.13038022865143836,0.2716254763571632,0.01919690312239937
matrices,4096,72,117.954422,9.57656,0.0811886475947464,0.11276201054825889,0.01195404102781327
matrices,4096,96,178.957201,9.57656,0.053513130214860705,0.05574284397381324,0.007879157654013598
trapecio,100000000,1,0.067826,0.067826,1.0,100.0,0.08274113171939965
trapecio,100000000,24,0.005612,0.067826,12.085887384176765,50.35786410073652,1.0
trapecio,100000000,48,0.022309,0.067826,3.0402976377246853,6.333953411926427,0.25155766730915774
trapecio,100000000,72,0.081375,0.067826,0.8334992319508447,1.157637822153951,0.06896466973886328
trapecio,100000000,96,0.115863,0.067826,0.5853982720972183,0.6097898667679357,0.04843651553990489
trapecio,100000000000,1,66.85755,66.85755,1.0,100.0,0.05889571185303679
trapecio,100000000000,24,3.937623,66.85755,16.979164841326863,70.74652017219526,1.0
trapecio,100000000000,48,1.942522,66.85755,34.41791135441452,71.7039819883636,2.0270673897129607
trapecio,100000000000,72,1.404793,66.85755,47.59245668223006,66.10063428087508,2.8029916151347565
trapecio,100000000000,96,1.135211,66.85755,58.89438174929595,61.348314322183285,3.468626537269283
