experimento,tamano,procesos,T_Ethernet_s,T_WiFi_s,Aceleracion_Eth_vs_WiFi
matrices,512,1,0.018799,0.018844,1.00x
matrices,512,24,0.007499,0.007188,0.96x
matrices,512,48,0.094404,1.557343,16.50x
matrices,512,72,0.163042,2.159039,13.24x
matrices,512,96,0.210618,4.299395,20.41x
matrices,1024,1,0.145072,0.150240,1.04x
matrices,1024,24,0.033787,0.034809,1.03x
matrices,1024,48,0.344563,5.636130,16.36x
matrices,1024,72,0.559754,9.071514,16.21x
matrices,1024,96,0.760043,13.648012,17.96x
matrices,2048,1,1.198498,1.223764,1.02x
matrices,2048,24,0.200081,0.214929,1.07x
matrices,2048,48,1.261592,21.343125,16.92x
matrices,2048,72,1.985896,32.642679,16.44x
matrices,2048,96,2.786657,47.759433,17.14x
matrices,3072,1,3.889376,3.875501,1.00x
matrices,3072,24,0.547426,0.552753,1.01x
matrices,3072,48,2.799523,41.795233,14.93x
matrices,3072,72,4.334296,67.120577,15.49x
matrices,3072,96,6.148198,99.944942,16.26x
matrices,4096,1,9.913873,9.576560,0.97x
matrices,4096,24,1.324593,1.410032,1.06x
matrices,4096,48,5.244585,73.451014,14.01x
matrices,4096,72,7.764043,117.954422,15.19x
matrices,4096,96,11.041805,178.957201,16.21x
trapecio,100000000,1,0.066984,0.067826,1.01x
trapecio,100000000,24,0.003921,0.005612,1.43x
trapecio,100000000,48,0.002026,0.022309,11.01x
trapecio,100000000,72,0.002225,0.081375,36.57x
trapecio,100000000,96,0.001508,0.115863,76.83x
trapecio,100000000000,1,66.488999,66.857550,1.01x
trapecio,100000000000,24,3.842393,3.937623,1.02x
trapecio,100000000000,48,1.931728,1.942522,1.01x
trapecio,100000000000,72,1.325488,1.404793,1.06x
trapecio,100000000000,96,0.974949,1.135211,1.16x
