red,experimento,tamano,procesos,T_Total,T_Dist,T_Calc,T_Gather,GFLOPS,Checksum,mb_teorico,mb_real_master,wall_time_s
Ethernet,trapecio,100000000,1,0.066984,0.0,0.066982,2e-06,0.0,0.0,0.0,0.0,0.6029
Ethernet,trapecio,100000000,24,0.003921,0.0,0.003888,0.000764,0.0,0.0,0.0,0.0,1.0293
Ethernet,trapecio,100000000,48,0.002026,0.0,0.001997,0.000288,0.0,0.0,0.0008,0.09,1.6963
Ethernet,trapecio,100000000,72,0.002225,0.0,0.0013,0.001144,0.0,0.0,0.0015,0.19,1.5997
Ethernet,trapecio,100000000,96,0.001508,0.0,0.001065,0.000569,0.0,0.0,0.0023,0.61,1.6472
Ethernet,trapecio,100000000000,1,66.488999,0.0,66.488994,4e-06,0.0,0.0,0.0,0.84,66.9902
Ethernet,trapecio,100000000000,24,3.842393,0.0,3.842303,0.651409,0.0,0.0,0.0,0.0,4.9074
Ethernet,trapecio,100000000000,48,1.931728,0.0,1.931683,0.291633,0.0,0.0,0.0008,0.11,3.5723
Ethernet,trapecio,100000000000,72,1.325488,0.0,1.325426,0.219324,0.0,0.0,0.0015,0.19,2.9157
Ethernet,trapecio,100000000000,96,0.974949,0.0,0.974707,0.160998,0.0,0.0,0.0023,0.21,2.6592
Ethernet,matrices,512,1,0.018799,0.000796,0.017238,0.000764,14.2792,613416.74,0.0,0.0,0.5501
Ethernet,matrices,512,24,0.007499,0.005361,0.001735,0.002547,35.7975,613416.74,0.0,0.0,1.0816
Ethernet,matrices,512,48,0.094404,0.089877,0.000978,0.039279,2.8435,613416.74,4.19,8.89,1.5205
Ethernet,matrices,512,72,0.163042,0.152524,0.001064,0.082164,1.6464,613416.74,6.99,14.25,1.6158
Ethernet,matrices,512,96,0.210618,0.207587,0.000859,0.097131,1.2745,613416.74,9.44,14.55,1.6868
Ethernet,matrices,1024,1,0.145072,0.00346,0.137954,0.003657,14.8029,2453667.02,0.0,0.0,0.6419
Ethernet,matrices,1024,24,0.033787,0.023597,0.010631,0.007351,63.5601,2453667.02,0.0,0.0,0.8196
Ethernet,matrices,1024,48,0.344563,0.282172,0.006888,0.186981,6.2325,2453667.02,16.78,35.33,1.7917
Ethernet,matrices,1024,72,0.559754,0.477336,0.007298,0.314198,3.8365,2453667.02,27.96,56.08,2.0273
Ethernet,matrices,1024,96,0.760043,0.724805,0.008396,0.325031,2.8255,2453667.02,37.75,57.63,2.2882
Ethernet,matrices,2048,1,1.198498,0.014357,1.170489,0.01365,14.3345,9814670.59,0.0,0.01,1.7258
Ethernet,matrices,2048,24,0.200081,0.09088,0.116177,0.028172,85.8645,9814670.59,0.0,0.0,1.2722
Ethernet,matrices,2048,48,1.261592,1.057031,0.050448,0.806665,13.6176,9814670.59,67.11,141.11,2.8496
Ethernet,matrices,2048,72,1.985896,1.737039,0.044803,1.377896,8.6509,9814670.59,111.85,223.46,3.5923
Ethernet,matrices,2048,96,2.786657,2.697338,0.039427,1.380725,6.165,9814670.59,150.99,229.39,4.4089
Ethernet,matrices,3072,1,3.889376,0.030689,3.828174,0.030511,14.9078,22083010.24,0.0,0.0,4.4755
Ethernet,matrices,3072,24,0.547426,0.204794,0.325547,0.080399,105.9177,22083010.24,0.0,0.57,1.6479
Ethernet,matrices,3072,48,2.799523,2.357572,0.140443,1.848716,20.7114,22083010.24,150.99,318.25,4.4385
Ethernet,matrices,3072,72,4.334296,3.833933,0.117996,3.147109,13.3775,22083010.24,251.66,503.01,6.0969
Ethernet,matrices,3072,96,6.148198,5.975176,0.103672,3.140721,9.4307,22083010.24,339.74,516.72,7.9574
Ethernet,matrices,4096,1,9.913873,0.054371,9.805386,0.054115,13.8633,39258685.1,0.0,0.04,10.592
Ethernet,matrices,4096,24,1.324593,0.365419,1.005109,0.151139,103.7594,39258685.1,0.0,0.03,2.5715
Ethernet,matrices,4096,48,5.244585,4.244254,0.485275,3.285006,26.2059,39258685.1,268.44,564.25,7.0462
Ethernet,matrices,4096,72,7.764043,6.827211,0.311361,5.668882,17.702,39258685.1,447.39,894.57,9.5615
Ethernet,matrices,4096,96,11.041805,10.714442,0.278325,5.773721,12.4471,39258685.1,603.98,917.87,12.9143
Ethernet,matrices,6144,1,32.887841,0.120621,32.647184,0.120034,14.1042,88332041.42,0.0,0.06,33.6656
Ethernet,matrices,6144,24,3.83908,0.874517,2.890923,0.42995,120.8249,88332041.42,0.0,0.01,5.1912
Ethernet,matrices,6144,48,12.016472,9.606223,1.433817,7.480491,38.6017,88332041.42,603.98,1271.86,14.0061
Ethernet,matrices,6144,72,18.010841,15.58775,1.154965,12.795243,25.7543,88332041.42,1006.63,2010.74,20.0272
Ethernet,matrices,6144,96,25.036958,24.136302,0.852913,12.863855,18.5269,88332041.42,1358.95,2065.61,27.0642
Wi-Fi,trapecio,100000000,1,0.067826,0.0,0.067824,2e-06,0.0,0.0,0.0,0.0,0.6127
Wi-Fi,trapecio,100000000,24,0.005612,0.0,0.00556,0.002374,0.0,0.0,0.0,0.0,1.0479
Wi-Fi,trapecio,100000000,48,0.022309,0.0,0.001906,0.020403,0.0,0.0,0.0008,0.09,1.7814
Wi-Fi,trapecio,100000000,72,0.081375,0.0,0.001301,0.080332,0.0,0.0,0.0015,0.2,1.8714
Wi-Fi,trapecio,100000000,96,0.115863,0.0,0.000971,0.11508,0.0,0.0,0.0023,0.23,1.9258
Wi-Fi,trapecio,100000000000,1,66.85755,0.0,66.857545,5e-06,0.0,0.0,0.0,0.0,67.3689
Wi-Fi,trapecio,100000000000,24,3.937623,0.0,3.937528,0.750703,0.0,0.0,0.0,0.0,4.9371
Wi-Fi,trapecio,100000000000,48,1.942522,0.0,1.942484,0.324062,0.0,0.0,0.0008,0.09,4.2843
Wi-Fi,trapecio,100000000000,72,1.404793,0.0,1.305065,0.323523,0.0,0.0,0.0015,0.2,3.2963
Wi-Fi,trapecio,100000000000,96,1.135211,0.0,0.995231,0.331233,0.0,0.0,0.0023,0.23,3.4866
Wi-Fi,matrices,512,1,0.018844,0.000827,0.017202,0.000815,14.2451,613416.74,0.0,0.0,0.5788
Wi-Fi,matrices,512,24,0.007188,0.005501,0.001266,0.002235,37.3471,613416.74,0.0,0.0,0.9781
Wi-Fi,matrices,512,48,1.557343,1.474399,0.000955,0.51464,0.1724,613416.74,4.19,8.59,3.6132
Wi-Fi,matrices,512,72,2.159039,2.114078,0.002307,1.482042,0.1243,613416.74,6.99,13.71,4.0772
Wi-Fi,matrices,512,96,4.299395,4.235851,0.000885,1.603827,0.0624,613416.74,9.44,14.06,6.3361
Wi-Fi,matrices,1024,1,0.15024,0.003641,0.142939,0.003659,14.2937,2453667.02,0.0,0.0,0.7222
Wi-Fi,matrices,1024,24,0.034809,0.022568,0.01227,0.006482,61.6927,2453667.02,0.0,0.0,1.058
Wi-Fi,matrices,1024,48,5.63613,4.556819,0.007671,3.279832,0.381,2453667.02,16.78,34.11,7.5403
Wi-Fi,matrices,1024,72,9.071514,7.455247,0.005949,5.226155,0.2367,2453667.02,27.96,54.13,10.9635
Wi-Fi,matrices,1024,96,13.648012,11.44469,0.005462,6.329169,0.1573,2453667.02,37.75,55.68,15.7785
Wi-Fi,matrices,2048,1,1.223764,0.014336,1.19477,0.014656,14.0386,9814670.59,0.0,0.0,1.7691
Wi-Fi,matrices,2048,24,0.214929,0.10173,0.109531,0.037026,79.9327,9814670.59,0.0,0.0,1.292
Wi-Fi,matrices,2048,48,21.343125,18.060784,0.064743,13.594398,0.8049,9814670.59,67.11,136.27,24.6864
Wi-Fi,matrices,2048,72,32.642679,27.933491,0.04772,21.664117,0.5263,9814670.59,111.85,215.71,34.6813
Wi-Fi,matrices,2048,96,47.759433,45.1759,0.038585,23.660544,0.3597,9814670.59,150.99,221.68,49.871
Wi-Fi,matrices,3072,1,3.875501,0.032337,3.811637,0.031525,14.9612,22083010.24,0.0,0.0,4.481
Wi-Fi,matrices,3072,24,0.552753,0.227656,0.336863,0.07262,104.8969,22083010.24,0.0,0.0,1.6519
Wi-Fi,matrices,3072,48,41.795233,35.599044,0.171494,29.535603,1.3873,22083010.24,150.99,306.48,43.6281
Wi-Fi,matrices,3072,72,67.120577,58.042856,0.143291,48.781947,0.8638,22083010.24,251.66,485.8,69.5165
Wi-Fi,matrices,3072,96,99.944942,94.994963,0.139207,55.02919,0.5801,22083010.24,339.74,500.88,102.0175
Wi-Fi,matrices,4096,1,9.57656,0.056558,9.466124,0.053877,14.3516,39258685.1,0.0,0.0,10.2606
Wi-Fi,matrices,4096,24,1.410032,0.676061,0.970629,0.277196,97.4722,39258685.1,0.0,0.0,2.6106
Wi-Fi,matrices,4096,48,73.451014,63.754598,0.520423,52.474924,1.8712,39258685.1,268.44,543.73,75.5119
Wi-Fi,matrices,4096,72,117.954422,103.268838,0.328112,88.079383,1.1652,39258685.1,447.39,867.09,120.0807
Wi-Fi,matrices,4096,96,178.957201,171.849302,0.299795,104.412173,0.768,39258685.1,603.98,887.7,181.0031
