experimento,tamano,procesos,T_Total
trapecio,100000000,1,0.066984
trapecio,100000000,24,0.003921
trapecio,100000000,48,0.002026
trapecio,100000000,72,0.002225
trapecio,100000000,96,0.001508
trapecio,100000000000,1,66.488999
trapecio,100000000000,24,3.842393
trapecio,100000000000,48,1.931728
trapecio,100000000000,72,1.325488
trapecio,100000000000,96,0.974949
matrices,512,1,0.018799
matrices,512,24,0.007499
matrices,512,48,0.094404
matrices,512,72,0.163042
matrices,512,96,0.210618
matrices,1024,1,0.145072
matrices,1024,24,0.033787
matrices,1024,48,0.344563
matrices,1024,72,0.559754
matrices,1024,96,0.760043
matrices,2048,1,1.198498
matrices,2048,24,0.200081
matrices,2048,48,1.261592
matrices,2048,72,1.985896
matrices,2048,96,2.786657
matrices,3072,1,3.889376
matrices,3072,24,0.547426
matrices,3072,48,2.799523
matrices,3072,72,4.334296
matrices,3072,96,6.148198
matrices,4096,1,9.913873
matrices,4096,24,1.324593
matrices,4096,48,5.244585
matrices,4096,72,7.764043
matrices,4096,96,11.041805
matrices,6144,1,32.887841
matrices,6144,24,3.83908
matrices,6144,48,12.016472
matrices,6144,72,18.010841
matrices,6144,96,25.036958
