experimento,tamano,procesos,T_Total
trapecio,100000000,1,0.067826
trapecio,100000000,24,0.005612
trapecio,100000000,48,0.022309
trapecio,100000000,72,0.081375
trapecio,100000000,96,0.115863
trapecio,100000000000,1,66.85755
trapecio,100000000000,24,3.937623
trapecio,100000000000,48,1.942522
trapecio,100000000000,72,1.404793
trapecio,100000000000,96,1.135211
matrices,512,1,0.018844
matrices,512,24,0.007188
matrices,512,48,1.557343
matrices,512,72,2.159039
matrices,512,96,4.299395
matrices,1024,1,0.15024
matrices,1024,24,0.034809
matrices,1024,48,5.63613
matrices,1024,72,9.071514
matrices,1024,96,13.648012
matrices,2048,1,1.223764
matrices,2048,24,0.214929
matrices,2048,48,21.343125
matrices,2048,72,32.642679
matrices,2048,96,47.759433
matrices,3072,1,3.875501
matrices,3072,24,0.552753
matrices,3072,48,41.795233
matrices,3072,72,67.120577
matrices,3072,96,99.944942
matrices,4096,1,9.57656
matrices,4096,24,1.410032
matrices,4096,48,73.451014
matrices,4096,72,117.954422
matrices,4096,96,178.957201
