experimento,tamano,procesos,T_Total
trapecio,100000000,1,0.066698
trapecio,100000000,24,0.003926
trapecio,100000000,48,0.002061
trapecio,100000000,72,0.001983
trapecio,100000000,96,0.001661
trapecio,100000000000,1,66.113517
trapecio,100000000000,24,3.869576
trapecio,100000000000,48,1.927789
trapecio,100000000000,72,1.285578
trapecio,100000000000,96,0.964298
matrices,1024,1,0.145456
matrices,1024,24,0.032678
matrices,1024,48,0.347345
matrices,1024,72,0.567399
matrices,1024,96,0.772748
matrices,2048,1,1.199625
matrices,2048,24,0.193562
matrices,2048,48,1.252217
matrices,2048,72,1.982867
matrices,2048,96,2.788212
matrices,3072,1,3.816321
matrices,3072,24,0.512022
matrices,3072,48,2.815416
matrices,3072,72,4.352181
matrices,3072,96,6.174707
