experimento,tamano,procesos,T_Total
trapecio,100000000,1,0.067350
trapecio,100000000,24,0.005561
trapecio,100000000,48,0.018343
trapecio,100000000,72,0.089785
trapecio,100000000,96,0.146423
trapecio,100000000000,1,66.526926
trapecio,100000000000,24,4.045816
trapecio,100000000000,48,2.016062
trapecio,100000000000,72,1.368964
trapecio,100000000000,96,1.053217
matrices,1024,1,0.147472
matrices,1024,24,0.034179
matrices,1024,48,5.549577
matrices,1024,72,9.269884
matrices,1024,96,14.113333
matrices,2048,1,1.244563
matrices,2048,24,0.199079
matrices,2048,48,21.085757
matrices,2048,72,31.687304
matrices,2048,96,46.322868
matrices,3072,1,3.904030
matrices,3072,24,0.553372
matrices,3072,48,44.256782
matrices,3072,72,65.984071
matrices,3072,96,101.042337
